EAR,MAR,Pitch,Yaw,Label
0.2756,0.6404,-9.9799,-55.3812,0
0.2696,0.6207,-11.6269,-53.1727,0
0.27,0.5582,-12.9588,-51.6752,0
0.2572,0.5029,-13.5929,-51.9776,0
0.2931,0.5219,-13.6064,-52.4297,0
0.2595,0.523,-14.8309,-52.8576,0
0.2701,0.6879,-14.3123,-55.4603,0
0.2686,0.4523,-15.1959,-51.2939,0
0.2609,0.6015,-17.7848,-53.2146,0
0.2552,0.5846,-18.0526,-52.4873,0
0.2798,0.6228,-15.8012,-52.139,0
0.26,0.614,-15.1059,-50.3034,0
0.2665,0.5735,-17.7635,-49.664,0
0.2707,0.5445,-18.4444,-50.5596,0
0.2811,0.4891,-19.6534,-49.7957,0
0.2978,0.4722,-21.2925,-50.0317,0
0.295,0.4712,-21.4371,-49.6824,0
0.2923,0.4654,-21.2765,-49.8265,0
0.2837,0.4514,-19.7473,-49.1354,0
0.289,0.4664,-19.7308,-49.5026,0
0.276,0.49,-19.3406,-49.6215,0
0.2596,0.5094,-19.0077,-50.9712,0
0.2782,0.523,-18.8821,-51.0944,0
0.2962,0.5326,-19.0375,-51.4047,0
0.2605,0.5141,-18.4814,-50.3129,0
0.2528,0.5222,-18.6919,-49.9312,0
0.2413,0.5304,-18.5973,-49.6187,0
0.2365,0.5204,-19.5617,-49.2474,0
0.2486,0.4976,-19.221,-48.991,0
0.2468,0.5134,-19.1847,-48.3816,0
0.2629,0.5166,-19.2727,-48.4371,0
0.2497,0.517,-19.1863,-48.3755,0
0.2596,0.5191,-19.2872,-47.9007,0
0.2548,0.5071,-19.3381,-48.7535,0
0.268,0.4567,-19.053,-48.5433,0
0.2744,0.4053,-19.5501,-47.3168,0
0.2661,0.3803,-19.0736,-47.0149,0
0.2716,0.4646,-18.7449,-47.9637,0
0.2791,0.648,-20.0251,-52.2674,0
0.2824,0.6004,-18.8057,-50.5742,0
0.2768,0.6176,-19.2087,-50.9706,0
0.2675,0.621,-17.045,-51.9053,0
0.2752,0.6053,-16.0283,-52.4451,0
0.2719,0.5911,-17.0347,-52.5544,0
0.2801,0.608,-18.255,-52.5867,0
0.2589,0.6876,-16.7259,-52.4155,0
0.2546,0.5447,-14.2887,-50.6628,0
0.2662,0.5567,-16.3006,-51.5078,0
0.0668,0.5138,-16.1514,-51.0949,0
0.2507,0.4742,-18.293,-50.3588,0
0.2746,0.5963,-18.1288,-51.588,0
0.289,0.6259,-18.1319,-51.127,0
0.2811,0.4214,-18.5701,-48.2858,0
0.2884,0.5733,-17.3032,-49.4271,0
0.261,0.5316,-14.9668,-46.1533,0
0.3005,0.5548,-12.2532,-43.8119,0
0.2777,0.588,-13.5785,-45.1524,0
0.2846,0.5474,-15.1309,-45.207,0
0.2748,0.4872,-15.9869,-44.3154,0
0.2729,0.4958,-16.1892,-44.4225,0
0.2749,0.5187,-16.9271,-45.655,0
0.2787,0.5203,-16.8889,-45.3924,0
0.2767,0.5069,-16.8154,-45.0886,0
0.276,0.5092,-17.1473,-45.6463,0
0.2772,0.5115,-17.3009,-45.5368,0
0.1449,0.5112,-15.9663,-44.1033,0
0.2632,0.5215,-17.3553,-45.4543,0
0.2653,0.5214,-17.1577,-45.3571,0
0.2638,0.5245,-17.0181,-45.4774,0
0.2709,0.5282,-17.5756,-45.4463,0
0.2786,0.5295,-17.4854,-45.8047,0
0.2762,0.5247,-17.991,-46.1459,0
0.2745,0.5264,-18.1017,-46.263,0
0.2776,0.5191,-17.9451,-45.992,0
0.273,0.5191,-17.8274,-46.1191,0
